Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	144 - Day One Hundred Forty Four	8/23/2009 1:41:24 PM 	13:11:18	42.6 km	3 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N46 34.986 E9 37.018	8/23/2009 5:13:20 PM 	1229 m			109 m	0:00:40	10 kph	127° true
Trackpoint	N46 34.933 E9 37.106	8/23/2009 5:14:15 PM 	1240 m			149 m	0:00:55	10 kph	131° true
Trackpoint	N46 34.867 E9 37.166	8/23/2009 5:15:10 PM 	1245 m			144 m	0:00:55	9 kph	148° true
Trackpoint	N46 34.807 E9 37.221	8/23/2009 5:16:00 PM 	1248 m			132 m	0:00:50	10 kph	148° true
Trackpoint	N46 34.759 E9 37.291	8/23/2009 5:17:19 PM 	1249 m			126 m	0:01:19	6 kph	135° true
Trackpoint	N46 34.715 E9 37.364	8/23/2009 5:18:04 PM 	1250 m			123 m	0:00:45	10 kph	131° true
Trackpoint	N46 34.654 E9 37.432	8/23/2009 5:18:54 PM 	1252 m			143 m	0:00:50	10 kph	143° true
Trackpoint	N46 34.607 E9 37.515	8/23/2009 5:19:34 PM 	1253 m			138 m	0:00:40	12 kph	130° true
Trackpoint	N46 34.565 E9 37.463	8/23/2009 5:20:29 PM 	1260 m			102 m	0:00:55	7 kph	220° true
Trackpoint	N46 34.526 E9 37.409	8/23/2009 5:21:44 PM 	1267 m			100 m	0:01:15	5 kph	224° true
Trackpoint	N46 34.465 E9 37.367	8/23/2009 5:23:09 PM 	1277 m			126 m	0:01:25	5 kph	205° true
Trackpoint	N46 34.395 E9 37.363	8/23/2009 5:24:19 PM 	1288 m			130 m	0:01:10	7 kph	182° true
Trackpoint	N46 34.349 E9 37.405	8/23/2009 5:25:09 PM 	1296 m			100 m	0:00:50	7 kph	148° true
Trackpoint	N46 34.296 E9 37.422	8/23/2009 5:25:54 PM 	1303 m			101 m	0:00:45	8 kph	167° true
Trackpoint	N46 34.242 E9 37.428	8/23/2009 5:31:14 PM 	1314 m			100 m	0:05:20	1.1 kph	176° true
Trackpoint	N46 34.189 E9 37.387	8/23/2009 5:32:24 PM 	1321 m			112 m	0:01:10	6 kph	208° true
Trackpoint	N46 34.138 E9 37.361	8/23/2009 5:33:19 PM 	1330 m			99 m	0:00:55	6 kph	199° true
Trackpoint	N46 34.076 E9 37.342	8/23/2009 5:34:19 PM 	1339 m			117 m	0:01:00	7 kph	192° true
Trackpoint	N46 34.027 E9 37.288	8/23/2009 5:35:33 PM 	1352 m			114 m	0:01:14	6 kph	217° true
Trackpoint	N46 33.977 E9 37.319	8/23/2009 5:36:23 PM 	1360 m			100 m	0:00:50	7 kph	157° true
Trackpoint	N46 33.923 E9 37.320	8/23/2009 5:37:13 PM 	1369 m			100 m	0:00:50	7 kph	180° true
Trackpoint	N46 33.871 E9 37.301	8/23/2009 5:38:13 PM 	1377 m			100 m	0:01:00	6 kph	194° true
Trackpoint	N46 33.873 E9 37.293	8/23/2009 5:42:22 PM 	1382 m			11 m	0:04:09	0.2 kph	288° true
Trackpoint	N46 33.818 E9 37.277	8/23/2009 5:47:11 PM 	1395 m			103 m	0:04:49	1.3 kph	191° true
Trackpoint	N46 33.771 E9 37.352	8/23/2009 5:48:21 PM 	1403 m			129 m	0:01:10	7 kph	133° true
Trackpoint	N46 33.762 E9 37.430	8/23/2009 5:49:16 PM 	1406 m			102 m	0:00:55	7 kph	99° true
Trackpoint	N46 33.707 E9 37.459	8/23/2009 5:50:56 PM 	1410 m			108 m	0:01:40	4 kph	160° true
Trackpoint	N46 33.639 E9 37.476	8/23/2009 5:51:36 PM 	1408 m			128 m	0:00:40	12 kph	170° true
Trackpoint	N46 33.581 E9 37.479	8/23/2009 5:52:06 PM 	1409 m			106 m	0:00:30	13 kph	178° true
Trackpoint	N46 33.517 E9 37.484	8/23/2009 5:52:41 PM 	1409 m			119 m	0:00:35	12 kph	177° true
Trackpoint	N46 33.417 E9 37.486	8/23/2009 5:53:36 PM 	1411 m			186 m	0:00:55	12 kph	179° true
Trackpoint	N46 33.288 E9 37.492	8/23/2009 5:54:36 PM 	1411 m			238 m	0:01:00	14 kph	178° true
Trackpoint	N46 33.165 E9 37.499	8/23/2009 5:55:35 PM 	1413 m			230 m	0:00:59	14 kph	178° true
Trackpoint	N46 33.081 E9 37.502	8/23/2009 5:56:15 PM 	1414 m			156 m	0:00:40	14 kph	178° true
Trackpoint	N46 33.023 E9 37.505	8/23/2009 5:56:45 PM 	1415 m			107 m	0:00:30	13 kph	178° true
Trackpoint	N46 32.953 E9 37.508	8/23/2009 5:57:20 PM 	1415 m			130 m	0:00:35	13 kph	178° true
Trackpoint	N46 32.887 E9 37.510	8/23/2009 5:57:50 PM 	1416 m			122 m	0:00:30	15 kph	178° true
Trackpoint	N46 32.812 E9 37.513	8/23/2009 5:58:25 PM 	1417 m			140 m	0:00:35	14 kph	178° true
Trackpoint	N46 32.706 E9 37.518	8/23/2009 5:59:15 PM 	1418 m			197 m	0:00:50	14 kph	178° true
Trackpoint	N46 32.626 E9 37.520	8/23/2009 5:59:50 PM 	1418 m			148 m	0:00:35	15 kph	179° true
Trackpoint	N46 32.471 E9 37.503	8/23/2009 6:01:00 PM 	1417 m			289 m	0:01:10	15 kph	184° true
Trackpoint	N46 32.410 E9 37.489	8/23/2009 6:01:30 PM 	1421 m			113 m	0:00:30	14 kph	189° true
Trackpoint	N46 32.323 E9 37.470	8/23/2009 6:02:15 PM 	1425 m			164 m	0:00:45	13 kph	189° true
Trackpoint	N46 32.263 E9 37.452	8/23/2009 6:02:45 PM 	1425 m			114 m	0:00:30	14 kph	191° true
Trackpoint	N46 32.175 E9 37.446	8/23/2009 6:03:30 PM 	1428 m			163 m	0:00:45	13 kph	183° true
Trackpoint	N46 32.073 E9 37.423	8/23/2009 6:04:20 PM 	1430 m			192 m	0:00:50	14 kph	189° true
Trackpoint	N46 32.015 E9 37.393	8/23/2009 6:04:50 PM 	1432 m			113 m	0:00:30	14 kph	200° true
Trackpoint	N46 31.957 E9 37.363	8/23/2009 6:07:49 PM 	1432 m			115 m	0:02:59	2 kph	200° true
Trackpoint	N46 31.861 E9 37.313	8/23/2009 6:08:44 PM 	1436 m			189 m	0:00:55	12 kph	200° true
Trackpoint	N46 31.762 E9 37.262	8/23/2009 6:09:34 PM 	1440 m			195 m	0:00:50	14 kph	199° true
Trackpoint	N46 31.649 E9 37.205	8/23/2009 6:10:34 PM 	1445 m			222 m	0:01:00	13 kph	199° true
Trackpoint	N46 31.580 E9 37.186	8/23/2009 6:11:14 PM 	1450 m			131 m	0:00:40	12 kph	191° true
Trackpoint	N46 31.529 E9 37.232	8/23/2009 6:12:19 PM 	1462 m			111 m	0:01:05	6 kph	148° true
Trackpoint	N46 31.471 E9 37.270	8/23/2009 6:13:14 PM 	1475 m			119 m	0:00:55	8 kph	156° true
Trackpoint	N46 31.422 E9 37.234	8/23/2009 6:19:14 PM 	1483 m			102 m	0:06:00	1.0 kph	207° true
Trackpoint	N46 31.352 E9 37.260	8/23/2009 6:20:39 PM 	1490 m			134 m	0:01:25	6 kph	166° true
Trackpoint	N46 31.294 E9 37.323	8/23/2009 6:21:54 PM 	1500 m			135 m	0:01:15	6 kph	143° true
Trackpoint	N46 31.265 E9 37.393	8/23/2009 6:22:59 PM 	1508 m			104 m	0:01:05	6 kph	121° true
Trackpoint	N46 31.257 E9 37.481	8/23/2009 6:23:54 PM 	1518 m			113 m	0:00:55	7 kph	97° true
Trackpoint	N46 31.202 E9 37.557	8/23/2009 6:25:09 PM 	1523 m			142 m	0:01:15	7 kph	136° true
Trackpoint	N46 31.139 E9 37.546	8/23/2009 6:26:03 PM 	1525 m			118 m	0:00:54	8 kph	187° true
Trackpoint	N46 31.125 E9 37.635	8/23/2009 6:26:48 PM 	1529 m			115 m	0:00:45	9 kph	102° true
Trackpoint	N46 31.116 E9 37.721	8/23/2009 6:28:43 PM 	1538 m			112 m	0:01:55	3 kph	99° true
Trackpoint	N46 31.069 E9 37.750	8/23/2009 6:29:43 PM 	1549 m			93 m	0:01:00	6 kph	157° true
Trackpoint	N46 31.016 E9 37.755	8/23/2009 6:38:07 PM 	1562 m			100 m	0:08:24	0.7 kph	176° true
Trackpoint	N46 30.978 E9 37.822	8/23/2009 6:39:22 PM 	1571 m			110 m	0:01:15	5 kph	130° true
Trackpoint	N46 30.949 E9 37.743	8/23/2009 6:40:27 PM 	1582 m			114 m	0:01:05	6 kph	242° true
Trackpoint	N46 30.898 E9 37.697	8/23/2009 6:41:32 PM 	1589 m			112 m	0:01:05	6 kph	212° true
Trackpoint	N46 30.843 E9 37.685	8/23/2009 6:42:47 PM 	1600 m			103 m	0:01:15	5 kph	188° true
Trackpoint	N46 30.804 E9 37.755	8/23/2009 6:43:57 PM 	1608 m			115 m	0:01:10	6 kph	129° true
Trackpoint	N46 30.804 E9 37.832	8/23/2009 6:45:26 PM 	1615 m			98 m	0:01:29	4 kph	89° true
Trackpoint	N46 30.817 E9 37.864	8/23/2009 6:51:56 PM 	1622 m			47 m	0:06:30	0.4 kph	58° true
Trackpoint	N46 30.837 E9 37.772	8/23/2009 6:53:01 PM 	1631 m			123 m	0:01:05	7 kph	287° true
Trackpoint	N46 30.861 E9 37.817	8/23/2009 6:54:01 PM 	1642 m			73 m	0:01:00	4 kph	52° true
Trackpoint	N46 30.836 E9 37.895	8/23/2009 6:55:07 PM 	1647 m			110 m	0:01:06	6 kph	115° true
Trackpoint	N46 30.805 E9 37.958	8/23/2009 6:56:05 PM 	1656 m			100 m	0:00:58	6 kph	126° true
Trackpoint	N46 30.753 E9 38.006	8/23/2009 6:57:20 PM 	1664 m			114 m	0:01:15	5 kph	147° true
Trackpoint	N46 30.686 E9 38.003	8/23/2009 6:59:00 PM 	1677 m			124 m	0:01:40	4 kph	182° true
Trackpoint	N46 30.638 E9 38.041	8/23/2009 7:00:15 PM 	1683 m			102 m	0:01:15	5 kph	151° true
Trackpoint	N46 30.586 E9 38.089	8/23/2009 7:39:35 PM 	1684 m			114 m	0:39:20	0.2 kph	148° true
Trackpoint	N46 30.534 E9 38.152	8/23/2009 7:40:15 PM 	1685 m			125 m	0:00:40	11 kph	140° true
Trackpoint	N46 30.491 E9 38.221	8/23/2009 7:40:55 PM 	1685 m			120 m	0:00:40	11 kph	133° true
Trackpoint	N46 30.429 E9 38.301	8/23/2009 7:41:45 PM 	1688 m			153 m	0:00:50	11 kph	138° true
Trackpoint	N46 30.370 E9 38.356	8/23/2009 7:42:29 PM 	1691 m			130 m	0:00:44	11 kph	147° true
Trackpoint	N46 30.321 E9 38.400	8/23/2009 7:42:59 PM 	1692 m			106 m	0:00:30	13 kph	148° true
Trackpoint	N46 30.252 E9 38.439	8/23/2009 7:43:39 PM 	1694 m			137 m	0:00:40	12 kph	159° true
Trackpoint	N46 30.181 E9 38.468	8/23/2009 7:44:24 PM 	1697 m			137 m	0:00:45	11 kph	164° true
Trackpoint	N46 30.129 E9 38.444	8/23/2009 7:44:54 PM 	1697 m			100 m	0:00:30	12 kph	198° true
Trackpoint	N46 30.058 E9 38.475	8/23/2009 7:45:44 PM 	1699 m			138 m	0:00:50	10 kph	163° true
Trackpoint	N46 29.954 E9 38.489	8/23/2009 7:46:34 PM 	1700 m			195 m	0:00:50	14 kph	175° true
Trackpoint	N46 29.875 E9 38.507	8/23/2009 7:47:23 PM 	1703 m			148 m	0:00:49	11 kph	171° true
Trackpoint	N46 29.812 E9 38.563	8/23/2009 7:48:23 PM 	1709 m			136 m	0:01:00	8 kph	148° true
Trackpoint	N46 29.749 E9 38.651	8/23/2009 7:50:23 PM 	1713 m			162 m	0:02:00	5 kph	136° true
Trackpoint	N46 29.683 E9 38.716	8/23/2009 7:51:18 PM 	1718 m			148 m	0:00:55	10 kph	146° true
Trackpoint	N46 29.606 E9 38.693	8/23/2009 7:51:48 PM 	1712 m			146 m	0:00:30	18 kph	192° true
